user_id,monthly_income,age,risk_tolerance,job_industry,dependent_count,monthly_expenses,emergency_fund_ratio,spending_volatility,income_stability,savings_goal_timeline,fixed_deposit_rate,savings_account_rate,debt_to_income_ratio,fixed_deposit_allocation_percentage,savings_account_allocation_percentage
62,4721.51,36,4.71,Retail,1,3840.81,0.26,0.11,0.88,27,2.78,0.47,0.23,70.0,30.0
63,3340.5,42,4.38,Manufacturing,1,2400.76,0.4,0.25,0.88,13,2.82,0.52,0.21,60.0,40.0
64,3205.69,49,6.34,Education,0,2095.76,0.31,0.15,0.89,35,2.84,0.3,0.16,77.0,23.0
65,6218.79,24,2.9,Manufacturing,3,6770.7,0.25,0.1,0.77,38,2.81,0.39,0.2,66.0,34.0
66,7034.36,34,2.87,Technology,0,4697.62,0.54,0.25,0.89,29,2.76,0.47,0.17,62.0,38.0
67,4891.98,32,6.45,Healthcare,2,3783.96,0.28,0.22,0.95,21,3.0,0.55,0.35,72.0,28.0
68,6505.3,38,6.23,Manufacturing,2,5483.11,0.61,0.13,0.93,19,2.61,0.48,0.44,72.0,28.0
69,5542.45,36,5.71,Education,3,5978.25,0.29,0.25,0.95,21,3.23,0.52,0.22,69.0,31.0
70,4032.32,32,4.18,Retail,0,2602.16,0.17,0.23,0.95,26,2.62,0.48,0.18,67.0,33.0
71,5542.09,31,6.62,Technology,1,4230.69,0.48,0.2,0.95,32,2.7,0.46,0.42,78.0,22.0
72,7307.05,26,6.52,Finance,0,4670.46,0.33,0.18,0.96,27,2.43,0.39,0.14,76.0,24.0
73,4946.26,42,5.63,Retail,3,4113.33,0.16,0.19,0.85,34,2.74,0.54,0.14,73.0,27.0
74,7346.97,38,3.73,Finance,1,4857.0,0.44,0.21,0.86,28,2.98,0.45,0.23,64.0,36.0
75,2500.0,42,4.86,Services,0,1484.98,0.2,0.16,0.76,32,2.61,0.51,0.37,67.0,33.0
76,6232.85,32,6.76,Retail,2,6130.18,0.1,0.26,0.88,23,3.07,0.44,0.32,71.0,29.0
77,5130.57,29,7.49,Energy,1,3355.8,0.5,0.23,0.88,14,2.76,0.56,0.33,70.0,30.0
78,4551.49,26,5.01,Healthcare,0,2257.25,0.62,0.19,1.0,34,2.52,0.51,0.16,75.0,25.0
79,5137.64,37,5.13,Services,1,3744.29,0.34,0.29,0.78,41,2.63,0.53,0.39,70.0,30.0
80,2500.0,26,5.26,Manufacturing,0,1879.45,0.58,0.18,0.77,26,2.89,0.42,0.22,66.0,34.0
81,4670.49,49,5.91,Government,4,5062.59,0.52,0.28,0.98,19,2.69,0.42,0.11,69.0,31.0
82,5535.67,24,4.63,Services,1,3230.67,0.5,0.21,0.8,27,3.12,0.53,0.35,65.0,35.0
83,7216.84,37,1.16,Manufacturing,2,6592.81,0.37,0.24,0.89,21,2.66,0.36,0.31,54.0,46.0
84,4222.59,47,7.29,Construction,3,4665.97,0.31,0.18,0.8,24,2.78,0.59,0.44,72.0,28.0
85,3787.26,39,8.19,Manufacturing,1,2422.87,0.45,0.11,0.82,24,2.67,0.49,0.42,77.0,23.0
86,4247.36,36,4.58,Manufacturing,1,2955.54,0.5,0.22,0.89,17,2.98,0.4,0.41,63.0,37.0
87,6373.1,27,3.9,Finance,0,3357.63,0.21,0.14,0.89,18,2.5,0.35,0.44,63.0,37.0
88,5493.13,23,5.29,Technology,3,5965.43,0.35,0.17,0.81,23,2.39,0.6,0.15,66.0,34.0
89,4205.36,41,5.22,Manufacturing,3,2737.65,0.37,0.2,0.9,22,2.69,0.3,0.51,68.0,32.0
90,5769.9,47,6.99,Energy,0,3519.76,0.36,0.17,0.85,28,2.76,0.55,0.28,75.0,25.0
91,5145.62,31,5.58,Government,1,4123.26,0.3,0.2,0.89,26,2.46,0.51,0.39,70.0,30.0
92,6452.97,25,4.31,Government,3,4878.95,0.2,0.21,0.9,28,2.89,0.56,0.25,67.0,33.0
93,3946.92,23,3.52,Retail,1,2392.61,0.35,0.13,0.95,22,2.94,0.39,0.31,66.0,34.0
94,4508.51,27,6.8,Healthcare,2,3488.37,0.36,0.21,0.98,17,2.73,0.43,0.23,73.0,27.0
95,4411.84,34,6.4,Education,2,4500.07,0.33,0.17,0.81,15,2.66,0.53,0.46,66.0,34.0
96,2804.73,47,7.09,Education,2,2101.53,0.5,0.15,0.94,31,3.09,0.51,0.38,79.0,21.0
97,5444.18,40,4.05,Technology,3,4453.78,0.19,0.1,0.89,20,2.58,0.59,0.19,65.0,35.0
98,5391.58,37,8.26,Retail,3,3773.99,0.44,0.12,0.95,18,2.91,0.5,0.34,78.0,22.0
99,5007.67,31,2.88,Construction,3,4482.18,0.13,0.2,0.94,34,2.7,0.64,0.37,67.0,33.0
100,4648.12,30,6.56,Healthcare,3,4461.66,0.39,0.2,1.0,20,2.84,0.51,0.37,74.0,26.0
101,2876.94,46,2.64,Technology,0,1695.58,0.1,0.23,0.82,6,2.96,0.66,0.21,50.0,50.0
102,4369.03,36,4.31,Healthcare,0,3073.93,0.27,0.29,0.86,25,2.86,0.67,0.27,63.0,37.0
103,4485.93,23,7.84,Healthcare,3,3441.57,0.4,0.27,1.0,19,2.44,0.68,0.26,76.0,24.0
104,3796.58,29,6.75,Finance,0,1748.81,0.19,0.25,1.0,18,2.98,0.43,0.22,73.0,27.0
105,4758.07,28,4.68,Healthcare,2,3972.44,0.19,0.26,0.94,22,2.42,0.62,0.4,66.0,34.0
106,5606.08,30,4.72,Healthcare,3,6194.71,0.55,0.21,0.85,7,2.93,0.5,0.29,58.0,42.0
107,7829.28,39,5.65,Services,1,4568.0,0.16,0.21,0.88,9,2.89,0.5,0.21,63.0,37.0
108,5261.87,34,6.27,Healthcare,1,3866.06,0.38,0.28,0.99,20,2.74,0.58,0.29,71.0,29.0
109,5386.33,34,7.38,Government,0,4206.59,0.62,0.21,0.81,28,2.89,0.46,0.15,74.0,26.0
110,4888.33,45,4.82,Retail,0,3127.56,0.42,0.21,0.89,21,2.58,0.33,0.31,66.0,34.0
111,2500.0,29,3.08,Healthcare,2,1521.95,0.4,0.26,1.0,21,2.53,0.5,0.17,63.0,37.0
112,4960.23,49,5.74,Construction,0,3246.45,0.29,0.19,0.72,23,2.91,0.69,0.22,65.0,35.0
113,5090.35,29,4.81,Manufacturing,3,5287.58,0.29,0.19,0.9,31,2.73,0.47,0.29,71.0,29.0
114,8694.86,35,3.55,Technology,0,5211.24,0.37,0.13,0.95,24,3.1,0.49,0.12,67.0,33.0
115,4711.46,32,5.95,Technology,2,3806.24,0.1,0.18,0.95,23,2.73,0.54,0.27,72.0,28.0
116,5452.32,35,5.18,Government,0,2969.59,0.55,0.18,0.76,19,2.6,0.46,0.43,63.0,37.0
117,4947.93,38,5.96,Finance,1,3483.63,0.43,0.19,1.0,20,3.3,0.48,0.19,72.0,28.0
118,3246.98,38,4.16,Finance,1,2459.71,0.14,0.24,0.92,25,2.52,0.51,0.3,66.0,34.0
119,6714.23,28,6.23,Technology,0,4448.75,0.55,0.15,0.81,34,2.83,0.46,0.39,74.0,26.0
120,6127.9,26,3.52,Education,2,4462.46,0.5,0.27,0.95,25,2.82,0.63,0.34,64.0,36.0
121,6186.55,55,4.26,Government,3,5583.91,0.47,0.1,0.97,17,2.94,0.7,0.26,67.0,33.0
122,3635.92,31,5.14,Construction,0,2606.77,0.74,0.23,0.81,21,2.73,0.55,0.22,64.0,36.0
123,7104.19,40,8.11,Manufacturing,0,5140.31,0.41,0.24,0.93,32,2.75,0.45,0.36,80.0,20.0
124,2897.22,23,6.68,Healthcare,2,2157.99,0.63,0.23,1.0,24,2.77,0.55,0.21,75.0,25.0
125,5880.29,32,7.12,Services,3,4494.12,0.4,0.25,0.87,12,3.16,0.39,0.47,67.0,33.0
126,8285.68,33,7.63,Retail,0,7012.27,0.47,0.19,0.8,27,2.97,0.36,0.36,74.0,26.0
127,3514.2,38,10.0,Government,0,2332.59,0.32,0.26,0.96,18,2.63,0.49,0.13,80.0,20.0
128,4150.55,23,5.56,Technology,0,2590.99,0.12,0.17,0.95,14,2.69,0.63,0.13,68.0,32.0
129,5149.48,36,7.63,Finance,0,2586.54,0.13,0.17,0.92,24,2.77,0.64,0.19,77.0,23.0
130,4244.79,25,7.02,Services,0,2363.29,0.39,0.3,0.95,17,2.62,0.54,0.17,71.0,29.0
131,2674.0,37,6.99,Healthcare,1,1722.98,0.36,0.21,0.94,30,2.48,0.57,0.29,77.0,23.0
132,5102.84,26,8.16,Government,1,3895.18,0.22,0.25,0.76,24,2.66,0.52,0.28,72.0,28.0
133,3406.54,28,4.87,Retail,1,2302.19,0.36,0.22,0.95,34,2.62,0.49,0.14,73.0,27.0
134,5710.39,32,4.75,Education,0,3720.43,0.47,0.24,0.88,26,3.12,0.38,0.16,67.0,33.0
135,3620.86,26,5.98,Government,1,2018.06,0.59,0.1,1.0,20,2.82,0.62,0.15,74.0,26.0
136,7324.9,31,5.23,Technology,0,5789.92,0.3,0.22,0.88,19,2.5,0.46,0.25,66.0,34.0
137,3825.12,25,5.98,Government,0,2204.23,0.46,0.2,0.95,21,2.74,0.58,0.29,71.0,29.0
138,4516.91,23,7.84,Energy,1,3346.41,0.66,0.25,0.92,27,2.89,0.5,0.15,78.0,22.0
139,6220.28,43,4.78,Energy,0,3713.16,0.51,0.16,0.83,12,2.95,0.4,0.35,61.0,39.0
140,3153.7,24,5.04,Construction,3,2534.45,0.28,0.26,0.95,26,2.84,0.42,0.2,69.0,31.0
141,5341.19,33,5.76,Manufacturing,0,3047.66,0.42,0.14,0.85,16,2.91,0.44,0.21,67.0,33.0
142,6960.71,41,5.16,Retail,2,5676.85,0.43,0.18,0.95,41,2.77,0.51,0.26,78.0,22.0
143,2588.78,30,2.63,Government,1,1571.81,0.5,0.12,1.0,28,2.77,0.62,0.27,67.0,33.0
144,5276.95,28,4.63,Technology,1,3955.43,0.41,0.15,0.61,29,3.3,0.57,0.37,61.0,39.0
145,5389.82,36,6.53,Technology,2,4127.21,0.47,0.2,0.75,24,2.68,0.42,0.34,68.0,32.0
146,6172.73,43,7.66,Manufacturing,0,4401.17,0.55,0.27,0.93,11,2.55,0.37,0.18,70.0,30.0
147,3144.57,25,3.77,Technology,0,2273.11,0.24,0.2,0.76,24,2.71,0.57,0.37,60.0,40.0
148,3019.32,33,3.76,Services,1,2053.33,0.2,0.14,0.71,27,2.78,0.69,0.43,61.0,39.0
149,5782.91,23,5.55,Finance,1,4367.62,0.49,0.1,1.0,19,2.49,0.6,0.15,73.0,27.0
150,5445.48,31,2.39,Healthcare,1,3624.99,0.38,0.23,0.79,23,2.9,0.7,0.19,56.0,44.0
151,5375.74,35,4.83,Finance,2,5042.06,0.53,0.17,1.0,29,2.68,0.45,0.24,73.0,27.0
152,5519.67,28,2.9,Construction,0,3389.64,0.56,0.17,0.81,24,2.34,0.5,0.14,60.0,40.0
153,3979.96,31,7.55,Services,4,3509.34,0.12,0.25,0.92,26,2.8,0.63,0.37,76.0,24.0
154,5348.38,23,4.35,Technology,0,3225.71,0.27,0.19,0.88,28,2.64,0.34,0.3,67.0,33.0
155,5439.61,35,7.98,Government,0,3136.98,0.38,0.19,0.74,33,3.0,0.54,0.33,76.0,24.0
156,3928.47,43,7.17,Manufacturing,3,4340.96,0.25,0.21,0.82,17,2.6,0.53,0.27,69.0,31.0
157,7798.66,26,4.53,Manufacturing,0,5448.47,0.33,0.27,0.83,39,2.69,0.64,0.26,69.0,31.0
158,5710.75,30,3.89,Government,4,5251.22,0.21,0.21,0.99,39,2.87,0.4,0.27,73.0,27.0
159,3213.04,39,5.21,Education,0,1935.47,0.33,0.1,0.88,19,2.73,0.48,0.26,68.0,32.0
160,5984.83,44,5.34,Manufacturing,0,4556.32,0.26,0.16,0.83,29,2.61,0.43,0.28,70.0,30.0
161,3537.98,23,6.02,Healthcare,0,2106.64,0.45,0.19,0.84,38,2.61,0.49,0.25,75.0,25.0
162,6180.63,33,4.34,Technology,1,4501.26,0.54,0.24,0.9,35,3.04,0.38,0.34,70.0,30.0
163,6737.89,37,6.62,Technology,1,6299.93,0.46,0.14,0.94,10,2.69,0.55,0.19,69.0,31.0
164,3768.98,34,5.9,Technology,0,2089.05,0.79,0.21,0.88,22,2.56,0.52,0.28,69.0,31.0
165,6445.06,23,4.99,Manufacturing,0,4537.05,0.54,0.2,0.83,19,2.75,0.47,0.24,64.0,36.0
166,5619.17,39,4.43,Technology,0,3814.6,0.54,0.25,0.81,30,2.77,0.53,0.29,65.0,35.0
167,6233.09,47,5.22,Manufacturing,0,4380.72,0.39,0.15,0.76,31,2.91,0.54,0.11,68.0,32.0
168,7845.19,35,4.27,Manufacturing,3,6338.62,0.35,0.21,0.87,14,2.54,0.65,0.29,61.0,39.0
169,4631.92,26,5.59,Services,1,3010.06,0.59,0.28,0.87,18,3.14,0.49,0.21,65.0,35.0
170,3869.4,30,5.63,Retail,2,3123.3,0.36,0.24,0.93,11,2.69,0.63,0.21,65.0,35.0
171,3665.73,49,5.89,Energy,0,2215.56,0.41,0.23,0.79,23,3.15,0.42,0.36,66.0,34.0
172,3776.28,42,8.15,Technology,0,1574.09,0.37,0.18,0.86,21,2.84,0.44,0.38,75.0,25.0
173,4884.35,40,5.3,Retail,2,3326.55,0.48,0.21,0.72,27,2.91,0.66,0.33,65.0,35.0
174,5511.73,37,7.01,Technology,3,4430.51,0.53,0.19,0.82,38,2.97,0.62,0.18,77.0,23.0
175,5415.04,29,5.84,Government,3,3816.95,0.56,0.24,0.89,26,2.72,0.33,0.16,70.0,30.0
176,6240.77,33,5.14,Finance,1,4565.8,0.35,0.23,1.0,21,2.53,0.3,0.44,70.0,30.0
177,5019.5,34,5.32,Manufacturing,0,2882.4,0.43,0.17,0.95,30,2.94,0.65,0.43,74.0,26.0
178,7180.3,39,5.41,Healthcare,0,4636.01,0.45,0.29,0.83,21,3.23,0.49,0.36,64.0,36.0
179,4603.01,47,5.92,Education,2,4695.08,0.62,0.26,0.94,22,2.8,0.44,0.21,70.0,30.0
180,9080.25,43,4.06,Government,0,7016.31,0.13,0.16,1.0,25,2.81,0.53,0.37,69.0,31.0
181,5938.5,23,3.3,Services,3,5474.67,0.4,0.18,0.8,14,2.87,0.44,0.35,56.0,44.0
182,3714.26,36,6.48,Education,2,3703.52,0.3,0.19,0.77,21,2.51,0.5,0.52,68.0,32.0
183,3393.66,40,6.85,Services,3,2835.62,0.32,0.24,0.77,17,3.04,0.47,0.19,66.0,34.0
184,5723.71,39,6.62,Technology,2,4421.63,0.27,0.16,0.81,30,2.55,0.46,0.51,74.0,26.0
185,4664.81,29,5.73,Government,2,3047.65,0.48,0.17,0.91,15,3.1,0.31,0.09,68.0,32.0
186,6071.0,58,6.65,Energy,0,4722.12,0.1,0.24,0.83,16,2.85,0.4,0.45,67.0,33.0
187,5709.86,24,6.57,Technology,1,5311.7,0.38,0.23,0.8,18,3.06,0.61,0.2,67.0,33.0
188,4890.76,26,6.68,Finance,0,3622.78,0.13,0.1,1.0,17,2.44,0.58,0.29,75.0,25.0
189,3729.81,36,4.21,Healthcare,2,3546.33,0.3,0.23,1.0,37,2.98,0.52,0.19,73.0,27.0
190,2727.73,51,3.85,Finance,1,1200.2,0.37,0.13,0.93,32,2.84,0.58,0.41,70.0,30.0
191,4330.23,28,4.92,Government,2,4416.83,0.34,0.17,0.9,27,2.75,0.51,0.17,70.0,30.0
192,6284.6,32,5.47,Retail,2,4823.3,0.5,0.18,0.79,20,3.03,0.33,0.21,65.0,35.0
193,5321.14,43,5.14,Energy,2,5427.56,0.59,0.18,0.89,23,2.96,0.39,0.43,68.0,32.0
194,3131.39,34,2.68,Education,0,2577.65,0.69,0.17,0.86,36,2.84,0.55,0.16,65.0,35.0
195,5259.77,32,8.08,Manufacturing,3,4972.67,0.4,0.15,0.87,21,2.37,0.33,0.22,76.0,24.0
196,5577.98,39,5.09,Finance,0,3434.34,0.57,0.23,1.0,15,2.74,0.42,0.44,67.0,33.0
197,3674.21,37,5.76,Services,3,3180.29,0.62,0.12,0.84,30,2.98,0.43,0.34,73.0,27.0
198,5230.59,43,7.37,Technology,1,2640.91,0.33,0.17,0.95,22,2.67,0.53,0.37,76.0,24.0
199,5087.31,45,1.98,Energy,3,4914.36,0.58,0.24,0.65,22,2.86,0.48,0.25,50.0,50.0
200,3285.54,37,4.73,Finance,1,1445.64,0.1,0.22,0.82,22,2.93,0.52,0.17,64.0,36.0
201,5536.68,37,4.92,Retail,2,4120.16,0.44,0.13,0.95,22,3.05,0.55,0.29,70.0,30.0
202,5841.18,36,5.0,Healthcare,1,5168.02,0.64,0.1,0.91,27,2.84,0.54,0.25,71.0,29.0
203,6624.58,38,5.24,Construction,2,5740.11,0.41,0.15,0.88,21,2.62,0.59,0.25,68.0,32.0
204,6580.7,35,7.67,Manufacturing,0,3270.67,0.37,0.1,0.95,26,3.05,0.52,0.28,80.0,20.0
205,2933.5,34,6.51,Retail,2,1816.31,0.37,0.2,0.88,32,2.75,0.4,0.33,75.0,25.0
206,3593.26,44,6.94,Retail,0,2120.95,0.62,0.18,0.94,35,2.9,0.38,0.23,80.0,20.0
207,5772.55,47,5.57,Healthcare,2,4556.88,0.16,0.18,1.0,16,2.67,0.54,0.35,70.0,30.0
208,5770.68,23,3.4,Technology,0,4256.77,0.34,0.23,0.95,32,2.54,0.49,0.34,67.0,33.0
209,5772.57,35,2.38,Construction,0,4100.91,0.53,0.24,0.9,33,2.55,0.5,0.35,63.0,37.0
210,10779.1,29,3.21,Healthcare,3,7624.72,0.45,0.21,1.0,34,3.08,0.43,0.35,70.0,30.0
211,5856.34,32,6.04,Construction,3,5419.66,0.58,0.19,0.79,24,2.79,0.49,0.4,68.0,32.0
212,6703.35,38,5.55,Manufacturing,2,5812.07,0.5,0.16,0.9,22,2.95,0.35,0.4,70.0,30.0
213,6431.0,40,5.18,Healthcare,3,5842.61,0.33,0.18,0.95,11,3.21,0.36,0.24,65.0,35.0
214,5977.09,34,4.95,Manufacturing,0,5080.52,0.49,0.21,0.84,24,2.99,0.7,0.4,66.0,34.0
215,4527.1,23,8.52,Retail,0,3271.42,0.2,0.25,0.68,38,3.18,0.3,0.24,77.0,23.0
216,6138.45,27,4.27,Retail,0,4584.09,0.1,0.13,0.81,26,2.59,0.4,0.36,65.0,35.0
217,3840.76,42,6.89,Construction,1,3538.66,0.31,0.14,0.84,22,2.8,0.38,0.47,72.0,28.0
218,4644.77,23,5.5,Education,1,3755.36,0.41,0.2,0.95,28,2.62,0.38,0.31,73.0,27.0
219,4271.95,44,5.41,Services,2,3049.63,0.28,0.1,0.82,14,2.59,0.45,0.32,65.0,35.0
220,5122.81,39,7.26,Finance,0,3966.44,0.43,0.21,0.98,21,2.68,0.37,0.34,76.0,24.0
221,8471.99,45,7.69,Construction,0,5166.73,0.41,0.25,0.95,30,2.65,0.57,0.32,79.0,21.0
222,2500.0,33,5.14,Education,2,1655.22,0.12,0.32,0.73,28,2.68,0.51,0.22,63.0,37.0
223,6029.39,23,6.7,Technology,0,3378.28,0.32,0.2,0.81,19,2.82,0.54,0.16,68.0,32.0
224,2580.93,38,6.05,Manufacturing,1,2194.94,0.54,0.24,0.94,38,2.86,0.52,0.36,77.0,23.0
225,4292.1,45,5.51,Healthcare,0,3056.08,0.47,0.2,1.0,12,3.0,0.43,0.23,68.0,32.0
226,6633.43,42,5.81,Energy,4,7021.59,0.3,0.28,0.65,26,2.91,0.42,0.33,62.0,38.0
227,5096.42,29,4.47,Technology,1,3994.37,0.49,0.18,0.84,30,3.19,0.63,0.21,67.0,33.0
228,3383.38,35,5.04,Technology,3,2942.02,0.66,0.22,0.91,33,3.22,0.51,0.2,72.0,28.0
229,3927.04,30,4.63,Technology,1,2945.21,0.34,0.23,0.93,24,2.7,0.51,0.23,67.0,33.0
230,6019.4,28,6.85,Education,0,4268.4,0.51,0.22,0.95,30,2.85,0.51,0.42,77.0,23.0
231,3904.45,42,5.36,Manufacturing,0,2302.65,0.49,0.16,0.79,24,2.8,0.51,0.23,66.0,34.0
232,5324.69,25,3.55,Manufacturing,2,3328.8,0.33,0.13,0.83,37,2.6,0.35,0.19,68.0,32.0
233,5068.36,27,4.41,Healthcare,4,4267.98,0.23,0.25,0.79,26,2.98,0.54,0.17,63.0,37.0
234,4022.6,26,1.0,Technology,0,2833.57,0.65,0.21,0.86,33,2.97,0.7,0.26,58.0,42.0
235,8215.92,23,4.76,Education,0,4808.09,0.56,0.2,0.9,14,2.94,0.51,0.22,63.0,37.0
